,Model,F-regression,Mutual Information,Lasso
GradientBoostingRegressor,0.9584665224690392,0.9409718575912916,0.9530090944796893,0.9527703662870931
DecisionTreeRegressor,0.9159262181180119,0.9047948795376057,0.8989648836130915,0.8819545360938376
ElasticNet,0.7811860021928982,0.7074669617856779,0.6583399553335275,0.7001427404885577
AdaBoostRegressor,0.9868972345373082,0.9885296171802017,0.9852124977674451,0.9844442195605981
Lars,0.6176705528832325,0.6431110538968449,0.5448978433347132,0.641095112438921
Lasso,0.7666794802213558,0.7269698740127243,0.6503910074611796,0.7489981250859521
RandomForestRegressor,0.962083566125646,0.9537430559150488,0.9562037697141624,0.9507445197622487
