,PCA
GradientBoostingRegressor,0.9953748433661923
DecisionTreeRegressor,0.7470704861935887
ElasticNet,0.8411422358719595
AdaBoostRegressor,0.9877564350161115
Lars,0.644473212673454
Lasso,0.8383441760260976
RandomForestRegressor,0.9658278816299998
