,Model,F-regression,Mutual Information,Lasso
GradientBoostingRegressor,0.9270369560717153,0.9211388446945558,0.9241980687426077,0.9206022537496753
DecisionTreeRegressor,0.8870188845883386,0.8763316732714942,0.873456469833196,0.8505113319697569
ElasticNet,0.7607371091536574,0.6951280529390322,0.7069141048076392,0.6731938412173175
AdaBoostRegressor,0.9886332894166531,0.9855190754532163,0.9885572426545798,0.9939063918447423
Lars,0.735190905657384,0.6911472979690156,0.6918661289902248,0.6452604069591822
Lasso,0.747889962112391,0.7189366191256247,0.6987641639437404,0.7149003317010033
RandomForestRegressor,0.9587452498446445,0.9551195941020977,0.958068924371255,0.9576486819234905
