,Model,F-regression,Mutual Information,Lasso
GradientBoostingRegressor,0.9521202824193168,0.9515208029748038,0.9504150431639667,0.9259640363664978
DecisionTreeRegressor,0.8752868837123322,0.878644099258438,0.8689681487118356,0.8215270179552138
ElasticNet,0.7495617041386436,0.7492355988267146,0.7466267425589717,0.6493155206701905
AdaBoostRegressor,0.9998875197882798,0.999888592717925,0.9999074773047703,0.9998216627956763
Lars,0.7436898516161814,0.746556319771786,0.6715282740855653,0.6495537509162669
Lasso,0.7247871505642473,0.7252279678187762,0.725227977095416,0.6331175353604869
RandomForestRegressor,0.9469764136712487,0.9459782395431335,0.9477862343914539,0.9295824500096282
