,Model,F-regression,Mutual Information,Lasso
GradientBoostingRegressor,0.9572431569703101,0.9581203577578807,0.9591687076835557,0.9366817997004016
DecisionTreeRegressor,0.818088673874411,0.8112240724146075,0.8161450976288291,0.7453251314409622
ElasticNet,0.6867141427528471,0.6915736096889565,0.6915735268841829,0.5586483982827158
AdaBoostRegressor,0.9997145906203206,0.9997146745187449,0.9997031833224591,0.9996778526168821
Lars,0.6541052842536274,0.6558586112459639,0.6561283268779166,0.5818019784682199
Lasso,0.6919444128294018,0.6960511264127066,0.69605079756727,0.5827300115440904
RandomForestRegressor,0.973696545216931,0.9740471263530587,0.9735723185342234,0.9619991569151501
