,PCA
GradientBoostingRegressor,0.9941857656841148
DecisionTreeRegressor,0.6922957911909036
ElasticNet,0.813633775563363
AdaBoostRegressor,0.9727297208955745
Lars,0.686065437425745
Lasso,0.8114514051546422
RandomForestRegressor,0.9731161908996281
