"2-methylpentane",                        "C6H14",    "107-83-5",    176.,      13, 25, "isohexane"
"2,3-dimethylpentane",                    "C7H16",    "565-59-3",    175.,      5,  25, ""
"3-methylpentane",                        "C6H14",    "96-14-0",     170.,      13, 25, ""
"1,1,3-trimethylcyclopentane",            "C8H16",    "4516-69-2",   159.,      5,  25, ""
"2,3-dimethylbutane",                     "C6H14",    "79-29-8",     144.,      13, 25, ""
"aniline",                                "C6H7N",    "62-53-3",     14.,       15, 25, "benzenamine"
"pentane",                                "C5H12",    "109-66-0",    128.,      13, 25, ""
"1,2-dichloro-1,1,2,2-tetrafluoroethane", "C2Cl2F4",  "76-14-2",     127.,      13, 25, "refrigerant 114"
"isobutane",                              "C4H10",    "75-28-5",     120.,      5,  25, "2-methylpropane"
"1,4-pentadiene",                         "C5H8",     "591-93-5",    12.,       5,  25, ""
"1,1,3-trimethylcyclohexane",             "C9H18",    "3073-66-3",   105.,      13, 25, ""
"4-methyloctane",                         "C9H20",    "2216-34-4",   1000.,     5,  25, ""
"cyclooctane",                            "C8H16",    "292-64-8",    10.7,      13, 25, ""
"trichlorofluoromethane",                 "CCl3F",    "75-69-4",     10.2,      13, 20, "refrigerant 11"
"1-butyne",                               "C4H6",     "107-00-6",    1.91,      5,  25, "ethylacetylene"
"sec-butylbenzene, (+-)-",                "C10H14",   "135-98-8",    1.89,      11, 25, "2-phenylbutane"
"1-iodobutane",                           "C4H9I",    "542-69-8",    1.87,      13, 17, "butyl iodide"
"1,1,1-trichloroethane",                  "C2H3Cl3",  "71-55-6",     1.76,      13, 25, "methyl chloroform"
"tetrachloroethene",                      "C2Cl4",    "127-18-4",    1.73,      13, 20, "perchloroethylene"
"pentylbenzene",                          "C11H16",   "538-68-1",    1.69,      11, 25, "amylbenzene"
"1-chlorobutane",                         "C4H9Cl",   "109-69-3",    1.54,      13, 25, "butyl chloride"
"isopropylbenzene",                       "C9H12",    "98-82-8",     1.466,     22, 25, "cumene"
"1-chloropropane",                        "C3H7Cl",   "540-54-5",    1.41,      13, 25, "propyl chloride"
"butylbenzene",                           "C10H14",   "104-51-8",    1.33,      22, 25, ""
"tert-butylbenzene",                      "C10H14",   "98-06-6",     1.28,      11, 25, ""
"2-bromopropane",                         "C3H7Br",   "75-26-3",     1.27,      13, 20, "isopropyl bromide"
"bromoethane",                            "C2H5Br",   "74-96-4",     1.23,      13, 25, "ethyl bromide"
"1-bromobutane",                          "C4H9Br",   "109-65-9",    1.2,       13, 25, "butyl bromide"
"propyne",                                "C3H4",     "74-99-7",     1.11,      5,  25, "methylacetylene"
"3-chloropropene",                        "C3H5Cl",   "107-05-1",    1.10,      5,  25, "allyl chloride"
"1,3,5-trichlorobenzene",                 "C6H3Cl3",  "108-70-3",    1.1,       11, 25, ""
"propylbenzene",                          "C9H12",    "103-65-1",    1.041,     22, 25, "isocumene"
"1,4-cyclohexadiene",                     "C6H8",     "628-41-1",    1.03,      13, 25, "1,4-dihydrobenzene"
"trichloroethene",                        "C2HCl3",   "79-01-6",     1.03,      13, 25, "trichloroethylene"
"chloroethane",                           "C2H5Cl",   "75-00-3",     1.02,      13, 25, "ethyl chloride"
"chloromethane",                          "CH3Cl",    "74-87-3",     0.98,      13, 25, "methyl chloride"
"trans-1,2-dichloroethene",               "C2H2Cl2",  "156-60-5",    0.96,      13, 25, "trans-1,2-dichloroethylene"
"1-iodopropane",                          "C3H7I",    "107-08-4",    0.93,      13, 20, "propyl iodide"
"hexachloroethane",                       "C2Cl6",    "67-72-1",     0.85,      13, 25, "perchloroethane"
"ethylbenzene",                           "C8H10",    "100-41-4",    0.843,     22, 25, "phenylethane"
"2,2',4,4',6,6'-hexachlorobiphenyl",      "C12H4Cl6", "33979-03-2",  0.818,     7,  25, ""
"1-isopropyl-4-methylbenzene",            "C10H14",   "99-87-6",     0.80,      5,  25, "p-cymene"
"1,3,5-trimethylbenzene",                 "C9H12",    "108-67-8",    0.781,     22, 25, "mesitylene"
"m-xylene",                               "C8H10",    "108-38-3",    0.730,     22, 25, "1,3-dimethylbenzene"
