-1.43  "V" ""            "methane"                           "74-82-8"     ! CH4
-1.31  "V" ""            "ethane"                            "74-84-0"     ! C2H6
-1.46  "V" ""            "propane"                           "74-98-6"     ! C3H8
-1.58  "V" ""            "butane"                            "106-97-8"    ! C4H{10}
-1.68  "V" ""            "2-methylpropane"                   "75-28-5"     ! HC(CH3)3 isobutane
-1.71  "V" ""            "pentane"                           "109-66-0"    ! C5H{12}
-1.95  "V" ""            "dimethylpropane"                   "463-82-1"    ! C(CH3)4 neopentane
-0.88  "V" ""            "cyclopentane"                      "287-92-3"    ! C5H{10}
-1.87  "V" ""            "hexane"                            "110-54-3"    ! C6H{14}
-1.85  "V" ""            "2-methylpentane"                   "107-83-5"    ! C6H{14} isohexane
-1.84  "V" ""            "3-methylpentane"                   "96-14-0"     ! C6H{14}
-0.90  "V" ""            "cyclohexane"                       "110-82-7"    ! C6H{12}
-1.17  "V" ""            "methylcyclopentane"                "96-37-7"     ! C5H9CH3
-1.90  "V" ""            "2,2-dimethylbutane"                "75-83-2"     ! C6H{14}
-1.92  "V" ""            "heptane"                           "142-82-5"    ! C7H{16}
-2.11  "V" ""            "2,4-dimethylpentane"               "108-08-7"    ! C7H{16}
-1.25  "V" ""            "methylcyclohexane"                 "108-87-2"    ! C6H{11}CH3
-2.12  "V" ""            "octane"                            "111-65-9"    ! C8H{18}
-2.09  "V" ""            "2,2,4-trimethylpentane"            "540-84-1"    ! C8H{18}
-1.16  "V" ""            "{cis}-1,2-dimethylcyclohexane"     "2207-01-4"   ! C6H{10}(CH3)2
-0.94  "V" ""            "ethene"                            "74-85-1"     ! C2H4 ethylene
-0.93  "V" ""            "propene"                           "115-07-1"    ! C3H6 propylene
-1.01  "V" ""            "1-butene"                          "106-98-9"    ! C4H8
-0.94  "V" ""            "2-methylpropene"                   "115-11-7"    ! C4H8 isobutene
-1.22  "V" ""            "1-pentene"                         "109-67-1"    ! C5H{10}
-0.98  "V" ""            "{trans}-2-pentene"                 "646-04-8"    ! C5H{10}
-0.41  "V" ""            "cyclopentene"                      "142-29-0"    ! C5H8
-0.96  "V" ""            "2-methyl-2-butene"                 "513-35-9"    ! C5H{10}
-1.34  "V" ""            "3-methyl-1-butene"                 "563-45-1"    ! C5H{10}
