1.57E-01  "acenaphthene"                                   "83-32-9"     "M"
8.50E-03  "2,3-benzindene"                                 "86-73-7"     "L" ! fluorene
1.01E-02  "2,3-benzindene"                                 "86-73-7"     "M" ! fluorene
4.00E-03  "phenanthrene"                                   "85-01-8"     "L"
3.65E-03  "phenanthrene"                                   "85-01-8"     "M"
7.30E-02  "anthracene"                                     "120-12-7"    "M"
6.00E-03  "anthracene"                                     "120-12-7"    "L"
1.20E-03  "pyrene"                                         "129-00-0"    "L"
1.10E-03  "pyrene"                                         "129-00-0"    "M"
2.20E-01  "fluoranthene"                                   "206-44-0"    "L"
9.50E-01  "chloromethane"                                  "74-87-3"     "L"
2.60E-01  "dichloromethane"                                "75-09-2"     "L"
3.80E-01  "trichloromethane"                               "67-66-3"     "L"
2.00E+00  "tetrachloromethane"                             "56-23-5"     "L"
2.00E-01  "chloroethane"                                   "75-00-3"     "L"
5.80E-01  "1,1-dichloroethane"                             "75-34-3"     "L"
1.10E-01  "1,2-dichloroethane"                             "107-06-2"    "L"
2.80E+00  "1,1,1-trichloroethane"                          "71-55-6"     "L"
1.20E-01  "1,1,2-trichloroethane"                          "79-00-5"     "L"
2.80E-01  "1,1,1,2-tetrachloroethane"                      "630-20-6"    "L"
4.80E-02  "1,1,2,2-tetrachloroethane"                      "79-34-5"     "L"
2.20E-01  "pentachloroethane"                              "76-01-7"     "L"
1.302E+00 "hexachloroethane"                               "67-72-1"     "V"
1.332E+01 "1,1-dichloroethene"                             "75-35-4"     "V"
7.61E-01  "(Z)-1,2-dichloroethene"                         "156-59-2"    "V"
6.69E-01  "(E)-1,2-dichloroethene"                         "156-60-5"    "V"
1.24E+00  "trichloroethene"                                "79-01-6"     "V" ! avg(1.179,1.3)
2.30E+00  "tetrachloroethene"                              "127-18-4"    "L"
1.10E+00  "3-chloropropene"                                "107-05-1"    "L"
1.20E-01  "1-chloro-2-methylpropane"                       "513-36-0"    "L"
3.60E-01  "2,3-dichloropropene"                            "78-88-6"     "L"
2.40E-01  "{cis}-1,3-dichloropropene"                      "10061-01-5"  "L"
1.80E-01  "{trans}-1,3-dichloropropene"                    "10061-02-6"  "L"
3.20E-02  "dibromomethane"                                 "74-95-3"     "L"
6.20E-02  "tribromomethane"                                "75-25-2"     "L"
1.105E+01 "trichlorofluoromethane"                         "75-69-4"     "V"
4.375E+01 "dichlorodifluoromethane"                        "75-71-8"     "V"
5.33E-01  "bromomethane"                                   "74-83-9"     "V"
1.95E+00  "fluoromethane"                                  "593-53-3"    "V"
3.50E-01  "chlorobenzene"                                  "108-90-7"    "L"
3.14E-01  "chlorobenzene"                                  "108-90-7"    "M"
1.90E-01  "1,2-dichlorobenzene"                            "95-50-1"     "L"
1.93E-01  "1,2-dichlorobenzene"                            "95-50-1"     "M"
3.60E-01  "1,3-dichlorobenzene"                            "541-73-1"    "L"
2.40E-01  "1,4-dichlorobenzene"                            "106-46-7"    "M"
1.60E-01  "1,4-dichlorobenzene"                            "106-46-7"    "L"
2.34E-01  "1,2,3-trichlorobenzene"                         "87-61-6"     "V" ! avg(0.306,0.161)
1.27E-01  "1,2,3-trichlorobenzene"                         "87-61-6"     "M"
3.79E-01  "1,2,4-trichlorobenzene"                         "120-82-1"    "V" ! avg(0.439,0.318)
1.61E-01  "1,3,5-trichlorobenzene"                         "108-70-3"    "V" ! avg(0.233,0.0884)
2.61E-01  "1,2,3,4-tetrachlorobenzene"                     "634-66-2"    "V"
5.93E-01  "1,2,3,5-tetrachlorobenzene"                     "634-90-2"    "V"
1.59E-01  "1,2,3,5-tetrachlorobenzene"                     "634-90-2"    "M"
2.61E-01  "1,2,4,5-tetrachlorobenzene"                     "95-94-3"     "V"
9.77E-01  "pentachlorobenzene"                             "608-93-5"    "V"
5.00E-03  "hexachlorobenzene"                              "118-74-1"    "V"
6.41E-02  "(chloromethyl)benzene"                          "100-44-7"    "V"
6.30E-01  "fluorobenzene"                                  "462-06-6"    "L"
1.61E+00  "(trifluoromethyl)-benzene"                      "98-08-8"     "V"
2.47E-01  "bromobenzene"                                   "108-86-1"    "M"
2.10E-01  "bromobenzene"                                   "108-86-1"    "L"
1.99E-01  "1,3-dibromobenzene"                             "108-36-1"    "V"
2.08E-01  "1,4-dibromobenzene"                             "106-37-6"    "V" ! avg(0.254,0.161)
1.30E-01  "iodobenzene"                                    "591-50-4"    "L"
1.47E-01  "1-bromo-4-chlorobenzene"                        "106-39-8"    "V"
3.55E-01  "1-chloronaphthalene"                            "90-13-1"     "M"
3.19E-02  "2-chloronaphthalene"                            "91-58-7"     "M"
3.20E-04  "gamma-1,2,3,4,5,6-hexachlorocyclohexane"        "58-89-9"     "L"
