 1634E+00 2941E-05 "tetrachloromethane"                     "56-23-5"     ""
 6765E+00 1218E-04 "trichlorofluoromethane"                 "75-69-4"     ""
 2169E+01 3904E-04 "dichlorodifluoromethane"                "75-71-8"     ""
 6247E+01 1124E-03 "chlorotrifluoromethane"                 "75-72-9"     ""
 2960E+02 5329E-03 "tetrafluoromethane"                     "75-73-0"     ""
 6343E+01 1142E-03 "carbon monoxide"                        "630-08-0"    ""
 1216E+00 2188E-05 "carbon dioxide"                         "124-38-9"    ""
 2812E+00 5062E-05 "carbon oxide sulfide"                   "463-58-1"    ""
 1067E+00 1921E-05 "carbon disulfide"                       "75-15-0"     ""
 2252E-01 4053E-06 "trichloromethane"                       "67-66-3"     ""
 2901E-01 5222E-06 "dichlorofluoromethane"                  "75-43-4"     ""
 1677E+00 3018E-05 "chlorodifluoromethane"                  "75-45-6"     ""
 4184E+00 7532E-05 "trifluoromethane"                       "75-46-7"     ""
 1617E-01 2911E-06 "triiodomethane"                         "75-47-8"     ""
     1e99     1e99 ""                                       ""            ""
 1376E-01 2476E-06 "dichloromethane"                        "75-09-2"     ""
 3588E-01 6458E-06 "chlorofluoromethane"                    "593-70-4"    ""
 6363E-01 1145E-05 "difluoromethane"                        "75-10-5"     ""
 1968E-02 3542E-07 "diiodomethane"                          "75-11-6"     ""
     1e99     1e99 ""                                       ""            ""
 6147E-05 1106E-09 "methanoic acid"                         "64-18-6"     ""
 3769E-01 6784E-06 "bromomethane"                           "74-83-9"     ""
 4588E-01 8259E-06 "chloromethane"                          "74-87-3"     ""
 7770E-01 1399E-05 "fluoromethane"                          "593-53-3"    "288"
 1573E-01 2832E-06 "iodomethane"                            "74-88-4"     ""
 1506E-02 2712E-07 "nitromethane"                           "75-52-5"     ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
 3539E+01 6370E-04 "methane"                                "74-82-8"     ""
 3858E-04 6945E-09 "methanol"                               "67-56-1"     ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
 1492E+00 2685E-05 "tetrachloroethene"                      "127-18-4"    ""
 1243E+00 2237E-05 "hexachloroethane"                       "67-72-1"     ""
 2694E+01 4849E-04 "1,1,2-trichlorotrifluoroethane"         "76-13-1"     ""
 6714E+01 1209E-03 "1,2-dichlorotetrafluoroethane"          "76-14-2"     ""
 1433E+02 2580E-03 "chloropentafluoroethane"                "76-15-3"     ""
 3398E+01 6117E-04 "tetrafluoroethene"                      "116-14-3"    ""
 9407E+02 1693E-02 "hexafluoroethane"                       "76-16-4"     ""
 2959E-01 5325E-06 "ethanedinitrile"                        "460-19-5"    "293"
 6482E-01 1167E-05 "trichloroethene"                        "79-01-6"     ""
 1008E-01 1815E-06 "pentachloroethane"                      "76-01-7"     ""
     1e99     1e99 ""                                       ""            ""
 1402E+00 2524E-05 "ethyne"                                 "74-86-2"     ""
 1270E+00 2286E-05 "1,1-dichloroethene"                     "75-35-4"     ""
 4088E-01 7358E-06 "(Z)-1,2-dichloroethene"                 "156-59-2"    ""
 3707E-01 6673E-06 "(E)-1,2-dichloroethene"                 "156-60-5"    ""
 1834E-02 3301E-07 "1,1,2,2-tetrachloroethane"              "79-34-5"     ""
 2157E+01 3883E-04 "1,1-difluoroethene"                     "75-38-7"     ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
 1245E+00 2241E-05 "chloroethene"                           "75-01-4"     ""
 5337E-02 9607E-07 "1,1,2-trichloroethane"                  "79-00-5"     ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
 1115E-03 2007E-08 "ethane nitrile"                         "75-05-8"     ""
 1153E+01 2075E-04 "ethene"                                 "74-85-1"     ""
 3880E-02 6984E-07 "1,2-dibromoethane"                      "106-93-4"    ""
 3262E-01 5871E-06 "1,1-dichloroethane"                     "75-34-3"     ""
 6544E-02 1175E-06 "1,2-dichloroethane"                     "107-06-2"    ""
 1465E+00 2637E-05 "1,1-difluoroethane"                     "75-37-6"     "301"
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
 5584E-03 1005E-07 "ethanal"                                "75-07-0"     ""
 6644E-05 1196E-09 "ethanoic acid"                          "64-19-7"     ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
 4118E-01 7412E-06 "bromoethane"                            "74-96-4"     ""
 3844E-01 6919E-06 "chloroethane"                           "75-00-3"     "293"
 1236E+00 2224E-05 "fluoroethane"                           "353-36-6"    ""
 2989E-01 5381E-06 "iodoethane"                             "75-03-6"     "293"
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
 2679E+01 4823E-04 "ethane"                                 "74-84-0"     ""
     1e99     1e99 ""                                       ""            ""
 4515E-04 8127E-09 "ethanol"                                "64-17-5"     ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
 1603E-01 2886E-06 "ethanethiol"                            "75-08-1"     ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
 5912E-01 1064E-05 "propyne"                                "74-99-7"     ""
 2299E-05 4140E-10 "propenoic acid"                         "79-10-7"     ""
 3262E-01 5871E-06 "3-bromo-1-propene"                      "106-95-6"    ""
 5040E-01 9072E-06 "3-chloro-1-propene"                     "107-05-1"    ""
 1885E-02 3393E-07 "1,2,3-trichloropropane"                 "96-18-4"     ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
 1132E+01 2038E-04 "propene"                                "115-07-1"    ""
 4241E+00 7633E-05 "cyclopropane"                           "75-19-4"     "294"
 8220E-02 1480E-06 "1,2-dibromopropane"                     "78-75-1"     ""
 1486E-01 2675E-06 "1,2-dichloropropane"                    "78-87-5"     ""
 5511E-02 9921E-07 "1,3-dichloropropane"                    "142-28-9"    ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
     1e99     1e99 ""                                       ""            ""
 3091E-04 5564E-09 "2-propen-1-ol"                          "107-18-6"    ""
     1e99     1e99 ""                                       ""            ""
 2376E-03 4276E-08 "propanone"                              "67-64-1"     ""
     1e99     1e99 ""                                       ""            ""
