648.     2.82E+01  1   0.
25.      9.07E+00  2   0.
1342.    1.10E+00  1   0.
543.     1.35E-01  2   7.94E-02
1890.    3.21E-01  2   4.21E-01
517.     6.25E-01  2   1.10E+00
1426.    1.63E-02  2   1.98E-02
1517.    2.06E-02  2   1.31E-02
1073.    8.56E-03  2   6.34E-03
1174.    4.12E-03  2   4.08E-03
1612.    9.35E-04  2   2.66E-03
1929.    3.35E-03  2   1.47E-03
2765.    6.40E-03  3   0.
3130.    1.16E-02  3   0.
3651.    1.00E-02  3   0.
1545.    1.90E-04  2   0.
3040.    1.46E-05  2   1.36E-05
2620.    3.51E-09  2   0.
1870.    2.61E-04  2   0.
1979.    2.09E-04  2   0.
2060.    2.22E-04  2   0.
451.     3.41E-03  2   1.00E-06
3002.    6.26E-05  2   2.04E-04
1521.    3.19E-03  2   4.99E-03
1444.    5.68E-04  2   8.02E-04
4754.    1.19E-09  2   0.
2689.    2.04E-06  2   0.
1001.    2.14E-02  2   0.
1253.    1.60E-02  2   1.15E-02
2060.    1.30E-02  2   0.
2362.    9.83E-06  2   0.
2319.    2.55E-05  2   0.
952.     1.15E-02  2   0.
1635.    6.90E-04  2   0.
2257.    1.16E-05  2   0.
1104.    5.42E-03  2   0.
4359.    1.78E-04  2   1.04E-03
2211.    8.12E-06  2   0.
1101.    3.28E-03  2   5.62E-03
1824.    6.73E-04  2   9.82E-04
1867.    4.57E-04  2   0.
2477.    2.98E-05  2   0.
1136.    4.51E-03  2   0.
1241.    2.49E-03  2   0.
1232.    2.17E-03  2   0.
1111.    1.66E-03  2   0.
388.     5.12E-01  2   0.
915.     1.12E+00  1   0.
1483.    1.17E-03  2   0.
1381.    6.54E-03  2   0.
1762.    5.48E-04  1   0.
749.     4.33E-01  1   0.
1347.    4.01E-02  1   0.
829.     3.73E-01  1   0.
437.     6.32E+01  1   0.
603.     3.12E+01  1   0.
1141.    3.96E+00  1   0.
1081.    2.71E-02  1   0.
